156|seed|The sower's seeds
157|boat|The storm-tossed boat
158|fringe|The garment's fringe
159|sandals|The evangelist's sandals
160|palm|A quiet place to rest
161|breadfish|Five loaves and two fish
162|wave|The midnight waves
163|loaf|The bread of life
164|basin|The washing vessel
165|crumbs|The table's crumbs
166|bowl|The leavened dough
167|keys|The kingdom keys
168|mountain|The radiant mountain
169|lamp|The light of faith
170|fishcoin|The fish and the coin
171|branches|The festival branches
172|stone|The unthrown stone
173|sun|The light of the world
174|staff|The shepherd's crook
175|sandals|The road to Jerusalem
176|oil|The Samaritan's healing oil
177|seed|The hidden kingdom seed
178|flower|A child's blessing
179|chest|The rich ruler's treasure
180|tomb|Lazarus' opened tomb
181|scroll|The council's decree
182|cup|The cup of service
183|tree|Zacchaeus' sycamore
184|perfume|Mary's alabaster jar
185|palm|The entry's palm branch
186|fig|The fig-tree branch
187|coins|The overturned money table
188|coin|Caesar's tribute coin
189|twocoins|The widow's two coins
190|grain|The grain that bears fruit
191|leaf|The watching fig branch
192|lamp|The waiting bridesmaid's lamp
193|basin|The basin and towel
194|breadcup|The supper bread and cup
195|vine|The true vine
196|olive|Gethsemane's olive branch
197|rooster|The rooster at dawn
198|sack|The silver purse
199|thorns|The crown of thorns
200|cross|The cross of Calvary
201|seal|The sealed tomb-stone
202|tomb|The resurrection tomb
203|perfume|The garden's spice jar
204|bread|The Emmaus bread
205|door|The room of peace
206|net|The morning catch
207|globe|The great commission globe
208|cloud|The ascension cloud
209|temple|The gathered church
210|compass|The witness's compass
211|stars|The waiting disciples' sky
212|flame|The Pentecost flame
213|gate|The Beautiful Gate
214|sack|The shared provision bag
215|chain|The opened prison chain
216|basket|The seven servants' basket
217|stones|Stephen's witness stones
218|chariot|The Ethiopian's chariot
219|sun|The Damascus light
220|basket|The wall-side escape basket
221|cloth|Peter's vision sheet
222|door|Peter's opened prison door
223|map|Antioch's mission map
224|ship|The Cyprus mission ship
225|sandals|The apostles' travel sandals
226|scroll|The council's letter
227|staff|Timothy's travel staff
228|lyre|The midnight song
229|book|The Thessalonian Scriptures
230|scroll|The Berean search scroll
231|tent|The tentmaker's canvas
232|trumpet|The trumpet of hope
233|water|The way explained
234|fire|The surrendered books
235|temple|The Ephesian temple
236|heart|Love that endures
237|jar|Treasure in a clay jar
238|scale|The gift of righteousness
239|fruit|The Spirit's fruit
240|lamp|The upper-room lamp
241|chain|The witness's bonds
242|scroll|The hearing before Felix
243|seal|The appeal to Caesar
244|crown|Agrippa's royal crown
245|anchor|The shipwreck anchor
246|letter|The letter of reconciliation
247|flower|Joy in hardship
248|armor|The armor of God
249|torch|The entrusted flame
250|stone|The living stone
251|star|The morning star
252|heart|The apostle's heart of love
253|city|Jerusalem's remembered walls
254|book|The reformers' open Bible
255|trumpet|The angels' proclamation
256|sanctuary|The heavenly sanctuary
257|scroll|The sealed heavenly scroll
258|shield|The shield of faithfulness
259|mirror|The mirror of the Word
260|eagle|The wilderness wings
261|bowls|The seven golden bowls
262|menorah|The seven lampstands
263|chain|The final binding chain
264|city|The restored city's gates
